# name	width	height	palette	feature
decor_boots	16	16	.BW	decor
decor_capsule	96	48	.LTW	decor
decor_crater	24	8	.DKN	decor
decor_dragonball	16	16	.OR	decor
decor_dragonballs	32	32	.ORT	decor
decor_gravity	96	48	.KRTW	decor
decor_halo	12	5	.M	decor
decor_hell	96	48	DKR	decor
decor_kame	96	48	.ELRTW	decor
decor_kingkai	96	48	.ERTW	decor
decor_korin	96	48	.TW	decor
decor_lookout	96	48	.TW	decor
decor_moon	32	32	.DM	decor
decor_move_big_bang	20	20	.X	decor
decor_move_death_ball	20	20	.X	decor
decor_move_death_beam	32	4	.X	decor
decor_move_destructo_disc	20	20	.X	decor
decor_move_final_flash	32	16	.X	decor
decor_move_galick_gun	32	8	.X	decor
decor_move_hellzone	8	8	.X	decor
decor_move_kaioken	32	32	.X	decor
decor_move_kamehameha	32	8	.X	decor
decor_move_light_grenade	20	20	.X	decor
decor_move_scattering	6	6	.X	decor
decor_move_solar_flare	32	32	.X	decor
decor_move_special_beam	32	8	.X	decor
decor_move_spirit_bomb	24	24	.X	decor
decor_move_supernova	32	32	.X	decor
decor_namek	96	48	ELT	decor
decor_radar	16	16	.EKW	decor
decor_satancity	96	48	.STW	decor
decor_shenron	96	48	.EKRW	decor
decor_ship	96	48	.LRW	decor
decor_timechamber	96	48	KTW	decor
decor_tree_ace	32	32	.ET	decor
decor_tree_gremlin	32	32	.DN	decor
decor_tree_ok	32	32	.ET	decor
decor_trophy_chamber	16	16	.MT	decor
decor_trophy_kame	16	16	.LRTW	decor
decor_trophy_korin	16	16	.TW	decor
decor_trophy_lookout	16	16	.TW	decor
decor_waterfall	96	48	.LT	decor
decor_westcity	96	48	.LTW	decor
emote_bored	16	16	png	emote
emote_dirty	16	16	png	emote
emote_hungry	16	16	png	emote
emote_nervous	16	16	.LW	emote
emote_sad	16	16	png	emote
emote_sleepy	16	16	png	emote
emote_stunned	16	16	png	emote
frieza_adult_ace_climb_a	16	16	.BKOSW	frieza
frieza_adult_ace_climb_a_g0	16	16	.BKOSW	frieza
frieza_adult_ace_climb_a_g1	16	16	.BKOSW	frieza
frieza_adult_ace_climb_a_g3	16	16	.BKOSW	frieza
frieza_adult_ace_climb_a_g4	16	16	.BKOSW	frieza
frieza_adult_ace_climb_b	16	16	.BKOSW	frieza
frieza_adult_ace_climb_b_g0	16	16	.BKOSW	frieza
frieza_adult_ace_climb_b_g1	16	16	.BKOSW	frieza
frieza_adult_ace_climb_b_g3	16	16	.BKOSW	frieza
frieza_adult_ace_climb_b_g4	16	16	.BKOSW	frieza
frieza_adult_ace_eat_a	16	16	.BKMOSWX	frieza
frieza_adult_ace_eat_a_g0	16	16	.BKMOSWX	frieza
frieza_adult_ace_eat_a_g1	16	16	.BKMOSWX	frieza
frieza_adult_ace_eat_a_g3	16	16	.BKMOSWX	frieza
frieza_adult_ace_eat_a_g4	16	16	.BKMOSWX	frieza
frieza_adult_ace_eat_b	16	16	.BKMOSWX	frieza
frieza_adult_ace_eat_b_g0	16	16	.BKMOSWX	frieza
frieza_adult_ace_eat_b_g1	16	16	.BKMOSWX	frieza
frieza_adult_ace_eat_b_g3	16	16	.BKMOSWX	frieza
frieza_adult_ace_eat_b_g4	16	16	.BKMOSWX	frieza
frieza_adult_ace_idle_a	16	16	.BKOSW	frieza
frieza_adult_ace_idle_a_g0	16	16	.BKOSW	frieza
frieza_adult_ace_idle_a_g1	16	16	.BKOSW	frieza
frieza_adult_ace_idle_a_g3	16	16	.BKOSW	frieza
frieza_adult_ace_idle_a_g4	16	16	.BKOSW	frieza
frieza_adult_ace_idle_b	16	16	.BKOSW	frieza
frieza_adult_ace_idle_b_g0	16	16	.BKOSW	frieza
frieza_adult_ace_idle_b_g1	16	16	.BKOSW	frieza
frieza_adult_ace_idle_b_g3	16	16	.BKOSW	frieza
frieza_adult_ace_idle_b_g4	16	16	.BKOSW	frieza
frieza_adult_ace_sleep_a	16	16	.BKMOW	frieza
frieza_adult_ace_sleep_a_g0	16	16	.BKMOW	frieza
frieza_adult_ace_sleep_a_g1	16	16	.BKMOW	frieza
frieza_adult_ace_sleep_a_g3	16	16	.BKMOW	frieza
frieza_adult_ace_sleep_a_g4	16	16	.BKMOW	frieza
frieza_adult_ace_sleep_b	16	16	.BKMOW	frieza
frieza_adult_ace_sleep_b_g0	16	16	.BKMOW	frieza
frieza_adult_ace_sleep_b_g1	16	16	.BKMOW	frieza
frieza_adult_ace_sleep_b_g3	16	16	.BKMOW	frieza
frieza_adult_ace_sleep_b_g4	16	16	.BKMOW	frieza
frieza_adult_ace_walk_a	16	16	.BKOSW	frieza
frieza_adult_ace_walk_a_g0	16	16	.BKOSW	frieza
frieza_adult_ace_walk_a_g1	16	16	.BKOSW	frieza
frieza_adult_ace_walk_a_g3	16	16	.BKOSW	frieza
frieza_adult_ace_walk_a_g4	16	16	.BKOSW	frieza
frieza_adult_ace_walk_b	16	16	.BKOSW	frieza
frieza_adult_ace_walk_b_g0	16	16	.BKOSW	frieza
frieza_adult_ace_walk_b_g1	16	16	.BKOSW	frieza
frieza_adult_ace_walk_b_g3	16	16	.BKOSW	frieza
frieza_adult_ace_walk_b_g4	16	16	.BKOSW	frieza
frieza_adult_gremlin_climb_a	16	16	.BKORSW	frieza
frieza_adult_gremlin_climb_a_g0	16	16	.BKORSW	frieza
frieza_adult_gremlin_climb_a_g1	16	16	.BKORSW	frieza
frieza_adult_gremlin_climb_a_g3	16	16	.BKORSW	frieza
frieza_adult_gremlin_climb_a_g4	16	16	.BKORSW	frieza
frieza_adult_gremlin_climb_b	16	16	.BKORSW	frieza
frieza_adult_gremlin_climb_b_g0	16	16	.BKORSW	frieza
frieza_adult_gremlin_climb_b_g1	16	16	.BKORSW	frieza
frieza_adult_gremlin_climb_b_g3	16	16	.BKORSW	frieza
frieza_adult_gremlin_climb_b_g4	16	16	.BKORSW	frieza
frieza_adult_gremlin_eat_a	16	16	.BKMORSWX	frieza
frieza_adult_gremlin_eat_a_g0	16	16	.BKMORSWX	frieza
frieza_adult_gremlin_eat_a_g1	16	16	.BKMORSWX	frieza
frieza_adult_gremlin_eat_a_g3	16	16	.BKMORSWX	frieza
frieza_adult_gremlin_eat_a_g4	16	16	.BKMORSWX	frieza
frieza_adult_gremlin_eat_b	16	16	.BKMORSWX	frieza
